,#,Date,Category,Winner,Movie,Wikipedia_URL
74,58th,"March 24, 1986",Best Sound,False,Ladyhawke,https://en.wikipedia.org/wiki/58th_Academy_Awards
75,58th,"March 24, 1986",Best Sound,False,Silverado,https://en.wikipedia.org/wiki/58th_Academy_Awards
76,58th,"March 24, 1986",Best Art Direction,True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
77,58th,"March 24, 1986",Best Art Direction,False,Brazil,https://en.wikipedia.org/wiki/58th_Academy_Awards
78,58th,"March 24, 1986",Best Art Direction,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
79,58th,"March 24, 1986",Best Art Direction,False,Ran,https://en.wikipedia.org/wiki/58th_Academy_Awards
80,58th,"March 24, 1986",Best Art Direction,False,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
81,58th,"March 24, 1986",Best Cinematography,True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
82,58th,"March 24, 1986",Best Cinematography,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
83,58th,"March 24, 1986",Best Cinematography,False,Murphy's Romance,https://en.wikipedia.org/wiki/58th_Academy_Awards
84,58th,"March 24, 1986",Best Cinematography,False,Ran,https://en.wikipedia.org/wiki/58th_Academy_Awards
85,58th,"March 24, 1986",Best Cinematography,False,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
86,58th,"March 24, 1986",Best Makeup,True,Mask,https://en.wikipedia.org/wiki/58th_Academy_Awards
87,58th,"March 24, 1986",Best Makeup,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
88,58th,"March 24, 1986",Best Makeup,False,Remo Williams: The Adventure Begins,https://en.wikipedia.org/wiki/58th_Academy_Awards
89,58th,"March 24, 1986",Best Costume Design,True,Ran,https://en.wikipedia.org/wiki/58th_Academy_Awards
90,58th,"March 24, 1986",Best Costume Design,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
91,58th,"March 24, 1986",Best Costume Design,False,The Journey of Natty Gann,https://en.wikipedia.org/wiki/58th_Academy_Awards
92,58th,"March 24, 1986",Best Costume Design,False,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
93,58th,"March 24, 1986",Best Costume Design,False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
94,58th,"March 24, 1986",Best Film Editing,True,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
95,58th,"March 24, 1986",Best Film Editing,False,A Chorus Line,https://en.wikipedia.org/wiki/58th_Academy_Awards
96,58th,"March 24, 1986",Best Film Editing,False,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
97,58th,"March 24, 1986",Best Film Editing,False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
98,58th,"March 24, 1986",Best Film Editing,False,Runaway Train,https://en.wikipedia.org/wiki/58th_Academy_Awards
